match_id,map,player,team,agent,kills,deaths,assists,acs,kda
582200,Split,benjyfishy,team2,Viper,18,22,5,185,1.0454545454545454
582200,Split,ComeBack,team2,Chamber,17,25,5,183,0.88
582200,Sunset,Rb,team1,Fade,21,5,4,386,5.0
582200,Sunset,Ivy,team1,Cypher,14,5,3,238,3.4
582200,Sunset,Francis,team1,Yoru,15,8,4,287,2.375
582200,Sunset,Dambi,team1,Waylay,11,8,6,195,2.125
582200,Sunset,Xross,team1,Omen,8,7,7,186,2.142857142857143
582200,Sunset,Wo0t,team2,Yoru,11,14,0,223,0.7857142857142857
582200,Sunset,benjyfishy,team2,Cypher,9,14,1,184,0.7142857142857143
582200,Sunset,Boo,team2,Omen,6,13,4,143,0.7692307692307693
582200,Sunset,paTiTek,team2,Fade,5,14,2,126,0.5
582200,Sunset,ComeBack,team2,Waylay,2,14,4,66,0.42857142857142855
582201,Split,Flicker,team1,Raze,20,18,2,259,1.2222222222222223
582201,Split,BeYN,team1,Fade,15,14,4,190,1.3571428571428572
582201,Split,free1ng,team1,Viper,16,16,6,209,1.375
582201,Split,Flashback,team1,Yoru,14,18,4,200,1.0
582201,Split,MaKo,team1,Omen,8,17,14,132,1.2941176470588236
582201,Split,Xross,team2,Omen,19,11,12,233,2.8181818181818183
582201,Split,Dambi,team2,Neon,21,19,12,328,1.736842105263158
582201,Split,Rb,team2,Fade,15,12,7,187,1.8333333333333333
582201,Split,Ivy,team2,Viper,14,15,3,191,1.1333333333333333
582201,Split,Francis,team2,Yoru,14,16,2,175,1.0
582201,Pearl,Flashback,team1,Yoru,18,5,2,273,4.0
582201,Pearl,free1ng,team1,Killjoy,16,7,5,265,3.0
582201,Pearl,MaKo,team1,Astra,13,5,11,219,4.8
582201,Pearl,Flicker,team1,Neon,16,10,4,270,2.0
582201,Pearl,BeYN,team1,Sova,13,8,1,199,1.75
582201,Pearl,Xross,team2,Astra,9,15,6,174,1.0
582201,Pearl,Ivy,team2,Killjoy,8,15,0,149,0.5333333333333333
582201,Pearl,Francis,team2,Yoru,7,16,3,149,0.625
582201,Pearl,Rb,team2,Sova,5,14,2,106,0.5
582201,Pearl,Dambi,team2,Neon,6,16,4,124,0.625
582201,Bind,BeYN,team1,Fade,16,15,5,199,1.4
582201,Bind,MaKo,team1,Brimstone,17,16,7,198,1.5
582201,Bind,Flicker,team1,Waylay,15,19,5,204,1.0526315789473684
582201,Bind,free1ng,team1,Viper,11,16,5,147,1.0
582201,Bind,Flashback,team1,Yoru,9,20,2,108,0.55
582201,Bind,Dambi,team2,Raze,24,17,7,312,1.8235294117647058
582201,Bind,Xross,team2,Brimstone,17,12,7,186,2.0
582201,Bind,Rb,team2,Fade,18,11,4,198,2.0
582201,Bind,Francis,team2,Yoru,18,13,3,216,1.6153846153846154
582201,Bind,Ivy,team2,Viper,9,15,4,131,0.8666666666666667
